,MSZoning,Street,LandContour,Utilities,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,AgeBeforeRemodel,TotalHouseSizeSF,OverallQual,OverallCond,YearRemodAdd,Foundation,BsmtCond,Heating,HeatingQC,CentralAir,Electrical,TotalKitchens,KitchenQual,TotalRooms,TotalBathRooms,Functional,Fireplaces,GarageType,GarageYrBlt,GarageQual,SaleType,SaleCondition,SalePrice
31,RL,Pave,Lvl,AllPub,Gtl,Sawyer,Norm,Norm,1Fam,1Story,40,2792,5,6,2006,CBlock,TA,GasA,Gd,Y,SBrkr,1,Gd,6,2,Typ,0,Attchd,1966.0,TA,WD,Normal,149350
32,RL,Pave,Lvl,AllPub,Gtl,CollgCr,Norm,Norm,1Fam,1Story,0,2982,8,5,2007,PConc,TA,GasA,Ex,Y,SBrkr,1,Gd,7,2,Typ,0,Attchd,2007.0,TA,WD,Normal,179900
33,RL,Pave,Lvl,AllPub,Gtl,NAmes,Norm,Norm,1Fam,1Story,0,3583,5,5,1959,CBlock,TA,GasA,Gd,Y,SBrkr,1,Gd,6,3,Typ,1,Attchd,1959.0,TA,WD,Normal,165500
34,RL,Pave,Lvl,AllPub,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,0,3928,9,5,2005,PConc,TA,GasA,Ex,Y,SBrkr,1,Ex,6,3,Typ,1,Attchd,2005.0,TA,WD,Normal,277500
35,RL,Pave,Lvl,AllPub,Gtl,NridgHt,Norm,Norm,1Fam,2Story,1,4405,8,5,2005,PConc,TA,GasA,Ex,Y,SBrkr,1,Gd,9,4,Typ,1,BuiltIn,2004.0,TA,WD,Normal,309000
36,RL,Pave,Lvl,AllPub,Gtl,CollgCr,Norm,Norm,1Fam,1Story,1,3322,5,5,1995,PConc,TA,GasA,Ex,Y,SBrkr,1,TA,6,2,Typ,0,Attchd,1995.0,TA,WD,Normal,145000
37,RL,Pave,Lvl,AllPub,Gtl,NAmes,Norm,Norm,1Fam,1Story,36,3092,5,6,1990,CBlock,TA,GasA,Gd,Y,SBrkr,1,TA,5,2,Typ,1,Attchd,1954.0,TA,WD,Normal,153000
38,RL,Pave,Lvl,AllPub,Gtl,NAmes,Norm,Norm,1Fam,1Story,54,2412,5,7,2007,CBlock,TA,GasA,TA,Y,SBrkr,1,Gd,5,2,Typ,0,Detchd,1953.0,TA,WD,Abnorml,109000
39,RL,Pave,Lvl,AllPub,Gtl,Edwards,Norm,Norm,Duplex,1Story,0,1152,4,5,1955,PConc,NB,GasA,TA,N,FuseP,2,Fa,6,2,Typ,0,NG,-1.0,NG,WD,AdjLand,82000
40,RL,Pave,Lvl,AllPub,Gtl,NAmes,Norm,Norm,1Fam,1Story,0,2990,6,5,1965,CBlock,TA,GasA,Ex,Y,SBrkr,1,TA,6,2,Typ,1,Attchd,1965.0,TA,WD,Abnorml,160000
41,RL,Pave,Lvl,AllPub,Gtl,Timber,Norm,Norm,1Fam,1Story,0,3090,5,6,1959,CBlock,TA,GasA,Gd,Y,SBrkr,1,TA,5,3,Typ,2,Attchd,1959.0,TA,WD,Normal,170000
42,RL,Pave,Lvl,AllPub,Gtl,SawyerW,Norm,Norm,1Fam,SFoyer,0,2468,5,7,1983,CBlock,TA,GasA,Gd,Y,SBrkr,1,Gd,5,2,Typ,0,Attchd,1983.0,TA,WD,Normal,144000
43,RL,Pave,Lvl,AllPub,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,2329,5,6,1980,CBlock,TA,GasA,TA,Y,SBrkr,1,TA,5,2,Typ,0,Detchd,1977.0,TA,WD,Normal,130250
44,RL,Pave,Lvl,AllPub,Gtl,NAmes,Norm,Norm,1Fam,1Story,0,2600,5,6,1959,CBlock,TA,GasA,Ex,Y,FuseA,1,TA,6,2,Typ,0,Attchd,1959.0,TA,WD,Normal,141000
45,RL,Pave,Lvl,AllPub,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,0,4358,9,5,2005,PConc,TA,GasA,Ex,Y,SBrkr,1,Ex,6,3,Typ,1,Attchd,2005.0,TA,WD,Normal,319900
46,RL,Pave,Lvl,AllPub,Gtl,Mitchel,Norm,Norm,1Fam,1.5Fin,0,4662,7,5,2003,PConc,TA,GasA,Ex,Y,SBrkr,1,Gd,6,3,Typ,1,Attchd,2003.0,TA,WD,Abnorml,239686
47,FV,Pave,Lvl,AllPub,Gtl,Somerst,Norm,Norm,1Fam,1Story,0,4284,8,5,2006,PConc,TA,GasA,Ex,Y,SBrkr,1,Gd,7,2,Typ,0,Attchd,2006.0,TA,WD,Normal,249700
48,RM,Pave,Lvl,AllPub,Gtl,OldTown,Norm,Norm,2fmCon,2Story,88,2290,4,5,2008,BrkTil,TA,GasA,Gd,Y,SBrkr,3,TA,8,2,Typ,0,NG,-1.0,NG,New,Partial,113000
49,RL,Pave,Lvl,AllPub,Gtl,Sawyer,Norm,Norm,1Fam,1Story,0,2296,5,7,1966,CBlock,TA,GasA,Ex,Y,SBrkr,1,TA,6,2,Typ,0,Attchd,1966.0,TA,WD,Normal,127000
50,RL,Pave,Lvl,AllPub,Gtl,Gilbert,Norm,Norm,1Fam,2Story,0,2727,6,6,1997,PConc,TA,GasA,Gd,Y,SBrkr,1,TA,6,3,Typ,0,Attchd,1997.0,TA,WD,Normal,177000
51,RM,Pave,Lvl,AllPub,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,16,2272,6,6,1950,PConc,TA,GasA,TA,Y,SBrkr,1,TA,6,1,Typ,1,Detchd,1985.0,TA,WD,Normal,114500
52,RM,Grvl,Bnk,AllPub,Mod,IDOTRR,RRNn,Norm,Duplex,1Story,0,2254,5,5,1963,CBlock,TA,GasA,TA,N,SBrkr,1,TA,5,2,Typ,0,CarPort,1963.0,TA,WD,Normal,110000
53,RL,Pave,Low,AllPub,Gtl,Veenker,Norm,Norm,1Fam,1Story,6,5507,9,5,1987,CBlock,TA,GasA,Gd,Y,SBrkr,1,Gd,5,3,Typ,1,Attchd,1981.0,TA,WD,Normal,385000
54,RL,Pave,Bnk,AllPub,Mod,NAmes,Norm,Norm,1Fam,SLvl,0,2366,5,5,1955,CBlock,TA,GasA,TA,Y,SBrkr,1,TA,6,1,Min1,1,Detchd,1962.0,TA,WD,Normal,130000
55,RL,Pave,Lvl,AllPub,Gtl,NAmes,Norm,Norm,1Fam,1Story,0,3833,6,5,1964,CBlock,TA,GasA,Gd,Y,SBrkr,1,TA,7,2,Typ,1,Attchd,1964.0,TA,WD,Normal,180500
56,FV,Pave,Lvl,AllPub,Gtl,Somerst,Norm,Norm,Twnhs,2Story,1,3304,8,5,2000,PConc,TA,GasA,Ex,Y,SBrkr,1,Gd,7,4,Typ,0,Attchd,1999.0,TA,WD,Abnorml,172500
57,RL,Pave,Lvl,AllPub,Gtl,CollgCr,Norm,Norm,1Fam,2Story,0,3215,7,5,2004,PConc,TA,GasA,Ex,Y,SBrkr,1,Gd,7,3,Typ,0,Attchd,2004.0,TA,WD,Normal,196500
58,RL,Pave,HLS,AllPub,Gtl,StoneBr,Norm,Norm,1Fam,2Story,0,5225,10,5,2006,PConc,TA,GasA,Ex,Y,SBrkr,1,Gd,10,4,Typ,1,BuiltIn,2006.0,TA,New,Partial,438780
59,RL,Pave,Bnk,AllPub,Gtl,CollgCr,Norm,Norm,1Fam,1Story,0,2108,5,7,1972,CBlock,TA,GasA,Ex,Y,SBrkr,1,TA,4,1,Typ,0,Detchd,1973.0,TA,WD,Normal,124900
60,RL,Pave,Lvl,AllPub,Gtl,SawyerW,RRAe,Norm,1Fam,1Story,0,2942,6,5,2004,PConc,TA,GasA,Ex,Y,SBrkr,1,Gd,5,3,Typ,0,Detchd,2006.0,TA,New,Partial,158000
61,RM,Pave,Lvl,AllPub,Gtl,IDOTRR,Norm,Norm,1Fam,2.5Unf,76,2073,5,7,1996,BrkTil,Fa,GasA,TA,N,SBrkr,1,Fa,6,1,Typ,0,Detchd,1935.0,TA,WD,Normal,101000
62,RL,Pave,Lvl,AllPub,Gtl,NridgHt,Norm,Norm,TwnhsE,1Story,0,3393,8,5,2006,PConc,Gd,GasA,Ex,Y,SBrkr,1,Gd,6,2,Typ,1,Attchd,2006.0,TA,WD,Normal,202500
63,RM,Pave,Bnk,AllPub,Gtl,OldTown,RRAn,Feedr,1Fam,2Story,29,2853,7,6,1950,BrkTil,TA,GasA,Gd,Y,SBrkr,1,TA,9,2,Typ,0,Detchd,1990.0,TA,WD,Normal,140000
64,RL,Pave,Lvl,AllPub,Gtl,CollgCr,Norm,Norm,1Fam,2Story,1,4348,7,5,1998,PConc,TA,GasA,Ex,Y,SBrkr,1,Gd,8,4,Typ,0,Attchd,1998.0,TA,WD,Normal,219500
65,RL,Pave,Lvl,AllPub,Gtl,NridgHt,Norm,Norm,1Fam,2Story,1,4811,8,5,2005,PConc,TA,GasA,Ex,Y,SBrkr,1,Gd,9,3,Typ,1,BuiltIn,2004.0,TA,WD,Normal,317000
66,RL,Pave,Lvl,AllPub,Gtl,NAmes,PosA,Norm,1Fam,1Story,19,5031,7,5,1989,CBlock,TA,GasA,TA,Y,SBrkr,1,TA,7,3,Min1,1,Attchd,1970.0,TA,WD,Normal,180000
67,RL,Pave,Lvl,AllPub,Gtl,CollgCr,Norm,Norm,1Fam,1Story,0,3663,7,5,2003,PConc,TA,GasA,Ex,Y,SBrkr,1,Gd,7,3,Typ,0,Attchd,2003.0,TA,WD,Normal,226000
68,RM,Pave,Lvl,AllPub,Gtl,OldTown,Artery,Norm,1Fam,1Story,5,1714,4,6,1950,CBlock,TA,GasA,TA,Y,SBrkr,1,TA,4,1,Typ,0,Attchd,1945.0,TA,WD,Normal,80000
69,RL,Pave,Lvl,AllPub,Gtl,ClearCr,Norm,Norm,1Fam,1.5Fin,0,4393,7,4,1953,CBlock,TA,GasW,TA,Y,SBrkr,1,TA,7,2,Typ,1,Attchd,1953.0,TA,WD,Normal,225000
70,RL,Pave,Lvl,AllPub,Gtl,NAmes,Norm,Norm,1Fam,1Story,0,5262,7,6,1973,CBlock,TA,GasA,Ex,Y,SBrkr,1,TA,8,3,Typ,2,Attchd,1973.0,TA,WD,Normal,244000
71,RL,Pave,Lvl,AllPub,Gtl,Mitchel,Norm,Norm,1Fam,1Story,24,2050,4,6,2006,CBlock,TA,GasA,TA,Y,SBrkr,1,TA,4,2,Typ,0,Detchd,1987.0,TA,WD,Normal,129500
72,RL,Pave,Lvl,AllPub,Gtl,Gilbert,Norm,Norm,1Fam,2Story,0,3362,7,5,1998,PConc,TA,GasA,Gd,Y,SBrkr,1,TA,7,3,Typ,1,Attchd,1998.0,TA,WD,Normal,185000
73,RL,Pave,Lvl,AllPub,Gtl,NAmes,Norm,Norm,1Fam,1Story,49,2662,5,7,2003,CBlock,TA,GasA,Gd,Y,SBrkr,1,TA,6,2,Typ,0,Attchd,1989.0,TA,WD,Normal,144900
74,RM,Pave,Lvl,AllPub,Gtl,OldTown,Norm,Norm,1Fam,2Story,35,3026,3,6,1950,CBlock,TA,GasA,Gd,N,SBrkr,2,TA,8,2,Typ,0,Detchd,1915.0,TA,WD,Normal,107400
75,RM,Pave,Lvl,AllPub,Gtl,MeadowV,Norm,Norm,Twnhs,SLvl,0,1968,4,5,1973,CBlock,TA,GasA,TA,Y,SBrkr,1,TA,5,2,Typ,0,BuiltIn,1973.0,TA,WD,Normal,91000
76,RL,Pave,Lvl,AllPub,Gtl,NAmes,Norm,Norm,1Fam,1Story,0,2187,4,7,1956,CBlock,TA,GasA,Ex,Y,FuseA,1,TA,4,1,Typ,0,Detchd,1956.0,TA,WD,Normal,135750
77,RM,Pave,Lvl,AllPub,Gtl,BrkSide,Norm,Norm,1Fam,1.5Fin,53,2197,5,5,2001,CBlock,TA,GasA,TA,Y,SBrkr,1,TA,6,2,Min1,0,Detchd,1948.0,TA,WD,Normal,127000
78,RL,Pave,Lvl,AllPub,Gtl,Sawyer,Norm,Norm,Duplex,1Story,0,3536,4,5,1968,CBlock,TA,GasA,TA,N,SBrkr,2,TA,8,2,Typ,0,NG,-1.0,NG,WD,Normal,136500
79,RM,Pave,Lvl,AllPub,Gtl,OldTown,Norm,Norm,1Fam,2Story,71,2312,5,6,1981,PConc,TA,GasA,Gd,Y,SBrkr,1,TA,5,2,Typ,0,Detchd,1966.0,TA,WD,Normal,110000
80,RL,Pave,Lvl,AllPub,Gtl,NAmes,Norm,Norm,1Fam,2Story,0,3871,6,6,1968,CBlock,TA,GasA,TA,Y,SBrkr,1,Gd,8,3,Typ,1,Attchd,1968.0,TA,WD,Normal,193500
81,RM,Pave,Lvl,AllPub,Gtl,Mitchel,Norm,Norm,TwnhsE,1Story,0,3178,6,5,1998,PConc,Gd,GasA,Ex,Y,SBrkr,1,TA,5,3,Typ,0,Attchd,1998.0,TA,WD,Normal,153500
82,RL,Pave,Lvl,AllPub,Gtl,Somerst,Norm,Norm,1Fam,1Story,0,4127,8,5,2007,PConc,TA,GasA,Ex,Y,SBrkr,1,Gd,6,2,Typ,1,Attchd,2007.0,TA,WD,Normal,245000
83,RL,Pave,Lvl,AllPub,Gtl,NAmes,Norm,Norm,1Fam,1Story,0,2665,5,5,1960,CBlock,TA,GasA,Gd,Y,SBrkr,1,TA,6,2,Typ,0,Detchd,1974.0,TA,COD,Normal,126500
84,RL,Pave,Lvl,AllPub,Gtl,Gilbert,Norm,Norm,1Fam,SLvl,1,2450,7,5,1996,PConc,TA,GasA,Gd,Y,SBrkr,1,TA,7,3,Typ,1,BuiltIn,1995.0,TA,WD,Normal,168500
85,RL,Pave,Lvl,AllPub,Gtl,NoRidge,Norm,Norm,1Fam,2Story,1,4376,8,5,1992,CBlock,TA,GasA,Ex,Y,SBrkr,1,Gd,9,3,Typ,1,Attchd,1991.0,TA,WD,Normal,260000
86,RL,Pave,Lvl,AllPub,Gtl,Gilbert,Norm,Norm,1Fam,2Story,0,2782,6,5,2005,PConc,TA,GasA,Ex,Y,SBrkr,1,Gd,6,3,Typ,1,BuiltIn,2005.0,TA,WD,Normal,174000
87,FV,Pave,Lvl,AllPub,Gtl,Somerst,Norm,Norm,TwnhsE,2Story,0,2598,6,5,2009,PConc,TA,GasA,Ex,Y,SBrkr,1,Gd,4,3,Typ,0,Detchd,2009.0,TA,New,Partial,164500
88,C (all),Pave,Lvl,AllPub,Gtl,IDOTRR,Feedr,Feedr,1Fam,1.5Fin,67,2182,3,2,1982,CBlock,Fa,GasA,TA,N,SBrkr,1,Fa,6,1,Typ,0,NG,-1.0,NG,ConLD,Abnorml,85000
89,RL,Pave,Lvl,AllPub,Gtl,CollgCr,Norm,Norm,1Fam,1Story,1,1980,4,5,1995,PConc,TA,GasA,Ex,Y,SBrkr,1,TA,5,2,Typ,0,NG,-1.0,NG,WD,Normal,123600
90,RL,Pave,Lvl,AllPub,Gtl,NAmes,Norm,Norm,1Fam,1Story,0,1489,4,5,1950,Slab,NB,GasA,TA,Y,FuseA,1,TA,4,1,Typ,0,Detchd,1950.0,TA,WD,Normal,109900
91,RL,Pave,Lvl,AllPub,Gtl,NAmes,Norm,Norm,1Fam,1Story,0,2950,5,3,1961,CBlock,TA,GasA,TA,Y,SBrkr,1,TA,6,1,Typ,0,Attchd,1961.0,TA,WD,Abnorml,98600
92,RL,Pave,HLS,AllPub,Gtl,Crawfor,Norm,Norm,1Fam,1Story,85,2316,5,7,2006,BrkTil,TA,GasA,Ex,Y,SBrkr,1,TA,5,2,Typ,0,Detchd,1921.0,TA,WD,Normal,163500
93,C (all),Pave,Lvl,AllPub,Gtl,OldTown,Norm,Norm,2fmCon,2.5Unf,88,4110,6,6,1998,BrkTil,Fa,GasW,Ex,N,SBrkr,2,TA,9,3,Typ,1,Detchd,1900.0,TA,WD,Normal,133900
94,RL,Pave,Lvl,AllPub,Gtl,CollgCr,Norm,Norm,1Fam,2Story,0,3456,6,5,1997,PConc,TA,GasA,Ex,Y,SBrkr,1,Gd,7,4,Typ,0,Attchd,1997.0,TA,WD,Normal,204750
95,RL,Pave,Lvl,AllPub,Gtl,Gilbert,Norm,Norm,1Fam,2Story,0,2865,6,8,1993,PConc,Gd,GasA,Gd,Y,SBrkr,1,TA,6,3,Typ,1,BuiltIn,1993.0,TA,WD,Normal,185000
96,RL,Pave,Lvl,AllPub,Gtl,CollgCr,Norm,Norm,1Fam,1Story,0,3835,7,5,1999,PConc,TA,GasA,Ex,Y,SBrkr,1,Gd,6,2,Typ,0,Attchd,1999.0,TA,WD,Normal,214000
97,RL,Pave,HLS,AllPub,Gtl,Edwards,Norm,Norm,1Fam,1Story,0,2472,4,5,1965,CBlock,TA,GasA,TA,Y,FuseF,1,TA,6,2,Typ,0,Attchd,1965.0,TA,WD,Normal,94750
98,RL,Pave,Lvl,AllPub,Gtl,Edwards,Norm,Norm,1Fam,1Story,30,1736,5,5,1950,BrkTil,TA,GasA,Fa,N,SBrkr,1,TA,5,1,Typ,0,Basment,1920.0,Fa,COD,Abnorml,83000
99,RL,Pave,Lvl,AllPub,Gtl,NAmes,Norm,Norm,1Fam,1Story,0,2527,4,5,1959,CBlock,TA,GasA,Fa,Y,SBrkr,1,TA,6,3,Typ,0,NG,-1.0,NG,WD,Normal,128950
100,RL,Pave,Lvl,AllPub,Gtl,NWAmes,Norm,Norm,1Fam,1Story,24,3936,6,7,2001,PConc,TA,GasA,Gd,Y,SBrkr,1,Gd,6,3,Typ,2,Attchd,1977.0,TA,WD,Normal,205000
101,RL,Pave,Lvl,AllPub,Gtl,SawyerW,Norm,Norm,1Fam,2Story,0,3187,6,5,1985,CBlock,TA,GasA,TA,Y,SBrkr,1,Gd,7,3,Typ,1,Attchd,1985.0,TA,WD,Normal,178000
102,RL,Pave,Bnk,AllPub,Gtl,SawyerW,Norm,Norm,Duplex,1Story,0,1945,5,5,1979,Slab,NB,GasA,TA,Y,SBrkr,2,TA,8,2,Typ,0,Attchd,1979.0,TA,WD,Alloca,118964
103,RL,Pave,Lvl,AllPub,Gtl,CollgCr,Norm,Norm,1Fam,1Story,0,3228,7,5,2009,PConc,TA,GasA,Ex,Y,SBrkr,1,Gd,6,2,Typ,0,Attchd,2009.0,TA,WD,Normal,198900
104,RM,Pave,Lvl,AllPub,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,19,3282,7,4,1950,PConc,TA,GasA,Ex,Y,FuseF,1,TA,7,2,Typ,2,Detchd,1951.0,TA,WD,Normal,169500
105,FV,Pave,Lvl,AllPub,Gtl,Somerst,Norm,Norm,1Fam,2Story,1,3878,8,5,2004,PConc,TA,GasA,Ex,Y,SBrkr,1,Gd,9,3,Typ,1,Attchd,2003.0,TA,WD,Normal,250000
106,RM,Pave,Lvl,AllPub,Gtl,OldTown,Norm,Norm,1Fam,1Story,110,1961,4,7,1995,BrkTil,TA,GasA,Gd,Y,SBrkr,1,TA,6,1,Typ,0,Detchd,1954.0,Fa,WD,Normal,100000
107,RM,Pave,Lvl,AllPub,Gtl,OldTown,Norm,Norm,1Fam,1Story,2,1828,5,5,1950,CBlock,TA,GasA,Ex,Y,SBrkr,1,TA,5,1,Typ,0,Detchd,1948.0,TA,WD,Partial,115000
108,RM,Pave,Lvl,AllPub,Gtl,IDOTRR,Artery,Norm,1Fam,1.5Fin,86,2454,5,7,2005,CBlock,TA,GasW,TA,N,FuseF,1,Fa,7,2,Typ,0,NG,-1.0,NG,WD,Normal,115000
109,RL,Pave,Lvl,AllPub,Gtl,NWAmes,Norm,Norm,1Fam,1Story,0,4356,6,6,1977,CBlock,TA,GasA,Ex,Y,SBrkr,1,TA,7,2,Typ,1,Attchd,1977.0,TA,COD,Normal,190000
